CTR;Steer
-0.0389;0.826927
-0.3065;0.53202
-0.4394;0.282775
-0.3917;-0.0853843
-0.2032;-0.395158
-0.0375;-0.374394
0.1287;-0.400388
0.3476;-0.538797
0.6252;-0.69815
0.2584;0.645541
0.0397;0.382126
-0.2615;0.592437
0.76;-1.63438
0.76;-0.11476
0.7596;-0.11428
0.7594;-0.115029
0.7593;-0.115594
0.7591;-0.115744
0.7589;-0.116093
0.7587;-0.116443
0.7583;-0.116362
0.7581;-0.117111
0.7578;-0.117245
0.7571;-0.116718
0.7568;-0.117852
0.7564;-0.11797
0.7556;-0.117428
0.7547;-0.11747
0.7537;-0.117497
0.7531;-0.118583
0.7525;-0.11887
0.7519;-0.119156
0.7506;-0.117936
0.7499;-0.119406
0.7484;-0.117955
0.7476;-0.119609
0.7467;-0.119647
0.745;-0.118165
0.7431;-0.117851
0.7421;-0.119872
0.7411;-0.120093
0.74;-0.120098
0.7378;-0.117937
0.7366;-0.120125
0.7354;-0.120313
0.7329;-0.117704
0.7315;-0.12006
0.7302;-0.12043
0.7273;-0.117159
0.7211;-0.109989
0.7194;-0.119094
0.7177;-0.119198
0.7142;-0.11543
0.7123;-0.118701
0.7085;-0.114685
0.7065;-0.118338
0.7044;-0.118176
0.7002;-0.113696
0.698;-0.117715
0.6957;-0.117518
0.691;-0.112358
0.6886;-0.116942
0.6861;-0.11671
0.681;-0.111086
0.6783;-0.11582
0.6728;-0.109731
0.67;-0.115047
0.6641;-0.108294
0.6611;-0.113974
0.6549;-0.106972
0.6517;-0.112817
0.6451;-0.10535
0.6382;-0.104034
0.6346;-0.110411
0.6274;-0.102445
0.6198;-0.100815
0.6159;-0.107938
0.6079;-0.0988418
0.6038;-0.106329
0.5954;-0.0967665
0.5911;-0.104617
0.5867;-0.10405
0.5776;-0.0935741
0.5729;-0.101956
0.5682;-0.101535
0.559;-0.0914342
0.5546;-0.100651
0.5506;-0.101127
0.5436;-0.0943486
0.5408;-0.102599
0.5387;-0.103953
0.5374;-0.105627
0.5371;-0.107851
0.526;-0.0848486
0.5208;-0.096129
0.516;-0.096467
0.5116;-0.0968628
0.5035;-0.0884995
0.4997;-0.0967794
0.4962;-0.0971025
0.4895;-0.0899423
0.4863;-0.0967054
0.4832;-0.096682
0.477;-0.0897905
0.474;-0.0959775
0.471;-0.095763
0.4679;-0.0953319
0.4614;-0.0877876
0.458;-0.0937067
0.4546;-0.0934239
0.4511;-0.0929245
0.4437;-0.0842363
0.44;-0.0913014
0.4361;-0.0905344
0.4281;-0.0813484
0.424;-0.0887454
0.4155;-0.0788782
0.4112;-0.0868388
0.4023;-0.0765049
0.3977;-0.0846138
0.393;-0.0839053
0.3834;-0.072857
0.3784;-0.0814962
0.3683;-0.0699653
0.3631;-0.0791669
0.3579;-0.0785659
0.3471;-0.0659194
0.3415;-0.0756501
0.3359;-0.0749781
0.3244;-0.0616153
0.3185;-0.0720895
0.3126;-0.0713608
0.3066;-0.0704141
0.2942;-0.0559013
0.2879;-0.0673002
0.2815;-0.0662809
0.2685;-0.0512652
0.2619;-0.0632061
0.2552;-0.0621287
0.2416;-0.0464096
0.2347;-0.0588919
0.2207;-0.0427023
0.2136;-0.055544
0.2065;-0.0545823
0.1921;-0.0379183
0.1847;-0.0509007
0.1773;-0.0498794
0.1698;-0.0486392
0.1546;-0.0310365
0.1471;-0.0453851
0.1395;-0.0441148
0.1316;-0.0423956
0.116;-0.0247136
0.1082;-0.0391977
0.1002;-0.0376478
0.0843;-0.019505
0.068;-0.016294
0.06;-0.031724
0.0518;-0.0301199
0.0437;-0.0291267
0.0272;-0.00986535
0.019;-0.0252448
0.0108;-0.0240202
-0.0058;-0.00472735
-0.0143;-0.0196452
-0.0225;-0.0190039
-0.0391;0.0003056
